reference_id,disease_name,marketed_drug_name_raw,marketed_drug_key
DDR_0001,溃疡性结肠炎,巴柳氮,巴柳氮
DDR_0002,溃疡性结肠炎,美沙拉秦,美沙拉秦
DDR_0003,溃疡性结肠炎,布地奈德,布地奈德
DDR_0004,溃疡性结肠炎,托法替布,托法替布
DDR_0005,溃疡性结肠炎,奥扎莫德,奥扎莫德
DDR_0006,溃疡性结肠炎,非戈替尼,非戈替尼
DDR_0007,溃疡性结肠炎,乌帕替尼,乌帕替尼
DDR_0008,溃疡性结肠炎,carotegrast methyl,carotegrastmethyl
DDR_0009,溃疡性结肠炎,艾曲莫德,艾曲莫德
DDR_0010,溃疡性结肠炎,地塞米松,地塞米松
DDR_0011,溃疡性结肠炎,地塞米松磷酸酯,地塞米松磷酸酯
DDR_0012,溃疡性结肠炎,奥沙拉秦,奥沙拉秦
DDR_0013,溃疡性结肠炎,曲安奈德,曲安奈德
DDR_0014,溃疡性结肠炎,曲安西龙双醋酸酯,曲安西龙双醋酸酯
DDR_0015,溃疡性结肠炎,柳氮磺吡啶,柳氮磺吡啶
DDR_0016,溃疡性结肠炎,氢化可的松磷酸酯,氢化可的松磷酸酯
DDR_0017,溃疡性结肠炎,泼尼松,泼尼松
DDR_0018,溃疡性结肠炎,泼尼松龙磷酸酯,泼尼松龙磷酸酯
DDR_0019,溃疡性结肠炎,环戊丙酸氢化可的松,环戊丙酸氢化可的松
DDR_0020,溃疡性结肠炎,甲泼尼龙,甲泼尼龙
DDR_0021,溃疡性结肠炎,甲泼尼龙琥珀酸酯,甲泼尼龙琥珀酸酯
DDR_0022,溃疡性结肠炎,醋酸可的松,醋酸可的松
DDR_0023,溃疡性结肠炎,醋酸氢化可的松,醋酸氢化可的松
DDR_0024,溃疡性结肠炎,醋酸甲泼尼龙,醋酸甲泼尼龙
DDR_0025,溃疡性结肠炎,替托司特,替托司特
DDR_0026,克罗恩病,甲氨蝶呤,甲氨蝶呤
DDR_0027,克罗恩病,darvadstrocel,darvadstrocel
DDR_0028,克罗恩病,乌帕替尼,乌帕替尼
DDR_0029,克罗恩病,Cupistem,cupistem
DDR_0030,克罗恩病,奥沙拉秦,奥沙拉秦
DDR_0031,克罗恩病,布地奈德,布地奈德
DDR_0032,克罗恩病,曲安奈德,曲安奈德
DDR_0033,克罗恩病,曲安西龙双醋酸酯,曲安西龙双醋酸酯
DDR_0034,克罗恩病,柳氮磺吡啶,柳氮磺吡啶
DDR_0035,克罗恩病,氢化可的松磷酸酯,氢化可的松磷酸酯
DDR_0036,克罗恩病,泼尼松,泼尼松
DDR_0037,克罗恩病,环戊丙酸氢化可的松,环戊丙酸氢化可的松
DDR_0038,克罗恩病,甲泼尼龙,甲泼尼龙
DDR_0039,克罗恩病,甲泼尼龙琥珀酸酯,甲泼尼龙琥珀酸酯
DDR_0040,克罗恩病,醋酸可的松,醋酸可的松
DDR_0041,便秘,芦比前列酮,芦比前列酮
DDR_0042,便秘,普芦卡必利,普芦卡必利
DDR_0043,便秘,利那洛肽,利那洛肽
DDR_0044,便秘,纳洛西酮,纳洛西酮
DDR_0045,便秘,普卡那肽,普卡那肽
DDR_0046,便秘,纳地美定,纳地美定
DDR_0047,便秘,依洛昔巴特,依洛昔巴特
DDR_0048,便秘,AJG555,ajg555
DDR_0049,便秘,替那帕诺,替那帕诺
DDR_0050,便秘,MOVICOL,movicol
DDR_0051,便秘,E. coli Nissle 1917,ecolinissle1917
DDR_0052,便秘,乳果糖,乳果糖
DDR_0053,便秘,多库酯,多库酯
DDR_0054,便秘,山梨醇,山梨醇
DDR_0055,便秘,拉克替醇,拉克替醇
DDR_0056,便秘,替加色罗,替加色罗
DDR_0057,便秘,比沙可啶,比沙可啶
DDR_0058,便秘,溴甲纳曲酮,溴甲纳曲酮
DDR_0059,便秘,磷酸氢二钠+磷酸二氢钠,磷酸氢二钠磷酸二氢钠
DDR_0060,便秘,聚乙二醇3350,聚乙二醇3350
DDR_0061,便秘,聚乙二醇4000,聚乙二醇4000
DDR_0062,便秘,聚卡波非,聚卡波非
DDR_0063,便秘,酚酞,酚酞
DDR_0064,便秘,多库酯+山梨醇,多库酯山梨醇
DDR_0065,便秘型肠易激综合征,芦比前列酮,芦比前列酮
DDR_0066,便秘型肠易激综合征,利那洛肽,利那洛肽
DDR_0067,便秘型肠易激综合征,普卡那肽,普卡那肽
DDR_0068,便秘型肠易激综合征,替那帕诺,替那帕诺
