nt_code,microbe_label,species_label,species_name,species,strain,genus,family,phylum,enzyme_id,enzyme_name,presence_call,presence_weight,evidence_scope,evidence_source,source_database,literature_citation,pmid,doi,genome_accession,strain_match_level,evidence_note,curation_status,matched_taxon_uri,matched_taxon_name,matched_query_name,annotation_match_modes,uniprot_accessions,uniprot_protein_names,ec_numbers,n_matching_proteins,n_reviewed_proteins,evidence_rank_score
NT5001,Bacteroides vulgatus,Bacteroides vulgatus,Bacteroides vulgatus (S1) DSM No.: 1447,Bacteroides vulgatus,type strain,Bacteroides,Bacteroidaceae,Bacteroidetes,ENZ001,beta_glucuronidase,likely_present,0.8,genus_prior_seed,project_starter_prior,,,,,,same_genus,Starter prior seeded from genus-level gut microbiome enzyme knowledge for Bacteroides.,starter_seed,,,,,,,,,,1.1800000000000002
NT5001,Bacteroides vulgatus,Bacteroides vulgatus,Bacteroides vulgatus (S1) DSM No.: 1447,Bacteroides vulgatus,type strain,Bacteroides,Bacteroidaceae,Bacteroidetes,ENZ002,sulfatase,likely_present,0.8,genus_prior_seed,project_starter_prior,,,,,,same_genus,Starter prior seeded from genus-level gut microbiome enzyme knowledge for Bacteroides.,starter_seed,,,,,,,,,,1.1800000000000002
NT5001,Bacteroides vulgatus,Bacteroides vulgatus,Bacteroides vulgatus (S1) DSM No.: 1447,Bacteroides vulgatus,type strain,Bacteroides,Bacteroidaceae,Bacteroidetes,ENZ005,carboxylesterase,genus_prior,0.6,genus_prior_seed,project_starter_prior,,,,,,same_genus,Starter prior seeded from genus-level gut microbiome enzyme knowledge for Bacteroides.,starter_seed,,,,,,,,,,1.1600000000000001
NT5001,Bacteroides vulgatus,Bacteroides vulgatus,Bacteroides vulgatus (S1) DSM No.: 1447,Bacteroides vulgatus,type strain,Bacteroides,Bacteroidaceae,Bacteroidetes,ENZ006,amidase,genus_prior,0.6,genus_prior_seed,project_starter_prior,,,,,,same_genus,Starter prior seeded from genus-level gut microbiome enzyme knowledge for Bacteroides.,starter_seed,,,,,,,,,,1.1600000000000001
NT5001,Bacteroides vulgatus,Bacteroides vulgatus,Bacteroides vulgatus (S1) DSM No.: 1447,Bacteroides vulgatus,type strain,Bacteroides,Bacteroidaceae,Bacteroidetes,ENZ007,beta_glucosidase,likely_present,0.8,genus_prior_seed,project_starter_prior,,,,,,same_genus,Starter prior seeded from genus-level gut microbiome enzyme knowledge for Bacteroides.,starter_seed,,,,,,,,,,1.1800000000000002
NT5001,Bacteroides vulgatus,Bacteroides vulgatus,Bacteroides vulgatus (S1) DSM No.: 1447,Bacteroides vulgatus,type strain,Bacteroides,Bacteroidaceae,Bacteroidetes,ENZ008,alpha_rhamnosidase,genus_prior,0.6,genus_prior_seed,project_starter_prior,,,,,,same_genus,Starter prior seeded from genus-level gut microbiome enzyme knowledge for Bacteroides.,starter_seed,,,,,,,,,,1.1600000000000001
NT5001,Bacteroides vulgatus,Bacteroides vulgatus,Bacteroides vulgatus (S1) DSM No.: 1447,Bacteroides vulgatus,type strain,Bacteroides,Bacteroidaceae,Bacteroidetes,ENZ009,beta_galactosidase,likely_present,0.8,genus_prior_seed,project_starter_prior,,,,,,same_genus,Starter prior seeded from genus-level gut microbiome enzyme knowledge for Bacteroides.,starter_seed,,,,,,,,,,1.1800000000000002
NT5001,Bacteroides vulgatus,Bacteroides vulgatus,Bacteroides vulgatus (S1) DSM No.: 1447,Bacteroides vulgatus,type strain,Bacteroides,Bacteroidaceae,Bacteroidetes,ENZ014,phosphatase,genus_prior,0.6,genus_prior_seed,project_starter_prior,,,,,,same_genus,Starter prior seeded from genus-level gut microbiome enzyme knowledge for Bacteroides.,starter_seed,,,,,,,,,,1.1600000000000001
NT5001,Bacteroides vulgatus,Bacteroides vulgatus,Bacteroides vulgatus (S1) DSM No.: 1447,Bacteroides vulgatus,type strain,Bacteroides,Bacteroidaceae,Bacteroidetes,ENZ016,polysaccharide_lyase,likely_present,0.8,genus_prior_seed,project_starter_prior,,,,,,same_genus,Starter prior seeded from genus-level gut microbiome enzyme knowledge for Bacteroides.,starter_seed,,,,,,,,,,1.1800000000000002
NT5002,Bacteroides uniformis,Bacteroides uniformis,Bacteroides uniformis (S2) DSM No.: 6597,Bacteroides uniformis ,VPI 0061,Bacteroides,Bacteroidaceae,Bacteroidetes,ENZ001,beta_glucuronidase,likely_present,0.8,species_genome,uniprot_sparql_automated,UniProt,,,,,same_species,"Automated UniProt SPARQL match from taxon Bacteroides uniformis; 4 protein hit(s), 0 reviewed.",needs_curation,http://purl.uniprot.org/taxonomy/820,Bacteroides uniformis,Bacteroides uniformis,exact_ec,A0A078RXP8;A0A078SLT0;A0ABC9N8P8;R9HXL5,Beta-glucuronidase,3.2.1.31,4.0,0.0,4.78
