nt_code,microbe_label,species_label,species_name,genus,family,phylum,ENZ001,ENZ002,ENZ003,ENZ004,ENZ005,ENZ006,ENZ007,ENZ008,ENZ009,ENZ010,ENZ011,ENZ012,ENZ013,ENZ014,ENZ015,ENZ016
NT5001,Bacteroides vulgatus,Bacteroides vulgatus,Bacteroides vulgatus (S1) DSM No.: 1447,Bacteroides,Bacteroidaceae,Bacteroidetes,0.8,0.8,,,0.6,0.6,0.8,0.6,0.8,,,,,0.6,,0.8
NT5002,Bacteroides uniformis,Bacteroides uniformis,Bacteroides uniformis (S2) DSM No.: 6597,Bacteroides,Bacteroidaceae,Bacteroidetes,0.8,0.8,,,0.8,0.8,0.8,0.8,0.8,,,,0.35,0.8,0.35,0.8
NT5003,Bacteroides fragilis (NT),Bacteroides fragilis (NT),Bacteroides fragilis nontoxigenic (S2)  DSM No.: 2151,Bacteroides,Bacteroidaceae,Bacteroidetes,1.0,0.8,,,0.8,0.8,0.8,0.8,0.8,0.8,,,,0.8,0.35,0.8
NT5004,Bacteroides thetaiotaomicron,Bacteroides thetaiotaomicron,Bacteroides thetaiotaomicron (S2) DSM No.: 2079,Bacteroides,Bacteroidaceae,Bacteroidetes,0.8,0.8,,,0.8,0.8,0.8,0.8,0.8,,,,,0.8,0.35,0.8
NT5005,Blautia hansenii,Blautia hansenii,Blautia hansenii (S1) DSMZ 20583,,,,,0.8,,,0.8,0.8,,,0.8,,,,0.35,0.8,0.35,
NT5005,Blautia hansenii,Blautia hansenii,Blautia hansenii (S1) DSMZ 20583,Blautia,,,0.35,,,,,,,,,,0.6,0.35,,,,
NT5006,Clostridium ramosum,Clostridium ramosum,Clostridium ramosum (S2) DSMZ 1402,Clostridium,Clostridiaceae,Firmicutes,0.6,,,,,0.35,,,,,0.8,0.8,0.6,,,
NT5007,Lactobacillus gasseri,Lactobacillus gasseri,Lactobacillus gasseri (S1) DSMZ 20243,,,,,0.8,,,0.8,0.8,0.8,,0.35,1.0,,,,0.8,0.35,0.8
NT5008,Pseudoflavonifractor capillosus,Pseudoflavonifractor capillosus,Pseudoflavonifractor capillosus (S2) DSMZ 23940,,,,,0.8,,,0.8,0.8,,0.8,0.8,,,,0.35,0.8,0.35,0.8
NT5008,Pseudoflavonifractor capillosus,Pseudoflavonifractor capillosus,Pseudoflavonifractor capillosus (S2) DSMZ 23940,Pseudoflavonifractor,,,,,,,,,,,,,0.8,0.8,,,,
NT5009,Eubacterium rectale,Eubacterium rectale,Eubacterium rectale (S1) DSM No.: 17629,Eubacterium,Eubacteriaceae,Firmicutes,0.6,,,,,,,,,,0.8,0.8,0.6,,,
NT5010,Faecalibacterium prausnitzii,Faecalibacterium prausnitzii,Faecalibacterium prausnitzii (S2) DSM No.: 17677,,,,0.8,0.8,,,0.8,0.8,0.8,0.8,0.8,,,,0.35,0.8,0.35,0.8
NT5010,Faecalibacterium prausnitzii,Faecalibacterium prausnitzii,Faecalibacterium prausnitzii (S2) DSM No.: 17677,Faecalibacterium,,,,,,,,,,,,,0.6,0.35,,,,
NT5011,Roseburia intestinalis,Roseburia intestinalis,Roseburia intestinalis (S1) DSM No.: 14610,Roseburia,Lachnospiraceae,Firmicutes,0.8,0.8,,,0.8,0.8,0.8,0.8,0.8,0.8,0.6,0.35,0.35,0.8,0.35,0.8
NT5012,Roseburia inulinivorans,Roseburia inulinivorans,Roseburia inulinivorans (S1) DSM No.: 16841,,,,,0.8,,,0.8,0.8,0.8,,0.8,0.8,,,0.35,0.8,0.35,
NT5012,Roseburia inulinivorans,Roseburia inulinivorans,Roseburia inulinivorans (S1) DSM No.: 16841,Roseburia,,,,,,,,,,,,,0.6,0.35,,,,
NT5013,Butyrivibrio crossotus,Butyrivibrio crossotus,Butyrivibrio crossotus (S1) DSM No.: 2876,,,,,0.8,,,0.8,0.8,,,0.8,0.8,,,0.35,0.8,0.35,
NT5013,Butyrivibrio crossotus,Butyrivibrio crossotus,Butyrivibrio crossotus (S1) DSM No.: 2876,Butyrivibrio,,,,,,,,,0.6,,,,0.35,,,,,0.6
NT5014,Alistipes putredinis,Alistipes putredinis,Alistipes putredinis (S2) DSMZ 17216,,,,,0.8,,,0.8,0.8,,,0.8,,,,,0.8,0.35,0.8
NT5014,Alistipes putredinis,Alistipes putredinis,Alistipes putredinis (S2) DSMZ 17216,Alistipes,,,0.6,,,,,,0.35,,,,,,,,,
NT5015,Parvimonas micra,Parvimonas micra,Parvimonas micra (S2) DSMZ 20468,,,,,,,,0.8,0.8,,,,,,,,0.8,,
NT5016,Dialister invisus,Dialister invisus,Dialister invisus (S2) DSMZ 15470,,,,,0.8,,,0.8,0.8,,,,,,,0.35,0.8,,0.8
NT5016,Dialister invisus,Dialister invisus,Dialister invisus (S2) DSMZ 15470,Dialister,,,,,,0.35,,,,,,,,,,,,
NT5017,Veillonella parvula,Veillonella parvula,Veillonella parvula (S2) DSMZ 2008,Veillonella,Veillonellaceae,Firmicutes,,,,0.35,,,,,,,,,,,,
NT5018,Haemophilus parainfluenzae,Haemophilus parainfluenzae,Haemophilus parainfluenzae (S2) DSMZ 8978,,,,,0.8,,0.35,0.8,0.8,,,0.8,,,,0.35,0.8,0.35,0.8
NT5019,Prevotella copri,Prevotella copri,Prevotella copri (S1) DSMZ 18205,Prevotella,Prevotellaceae,Bacteroidetes,,0.6,,,,,0.6,0.35,0.6,,,,,0.35,,0.6
NT5020,Prevotella melaninogenica,Prevotella melaninogenica,Prevotella melaninogenica (S2) DSMZ 7089,,,,,,,,0.8,0.8,,,0.8,,,,,0.8,0.35,0.8
NT5020,Prevotella melaninogenica,Prevotella melaninogenica,Prevotella melaninogenica (S2) DSMZ 7089,Prevotella,,,,0.6,,,,,0.6,0.35,,,,,,,,
NT5021,Akkermansia muciniphila,Akkermansia muciniphila,Akkermansia muciniphila (S1) DSM No.: 22959,Akkermansia,Verrucomicrobiaea,Verrucomicrobia,,0.8,,,0.8,0.8,,,0.8,,,,,0.8,0.35,0.8
NT5022,Bifidobacterium adolescentis,Bifidobacterium adolescentis,Bifidobacterium adolescentis (S1) DSM No.: 20083,Bifidobacterium,Bifidobacteriaceae,Actinobacteria,,0.8,,,0.8,0.8,0.8,0.8,1.0,0.8,,,,0.8,0.35,0.8
NT5023,Bifidobacterium longum,Bifidobacterium longum,Bifidobacterium longum subsp. infantis (S1) DSM No.: 20088,,,,,0.8,,,0.8,0.8,0.8,,0.8,0.8,,,,0.8,0.35,0.8
NT5023,Bifidobacterium longum,Bifidobacterium longum,Bifidobacterium longum subsp. infantis (S1) DSM No.: 20088,Bifidobacterium,,,,,,,,,,0.8,,,,,,,,
NT5024,Eggerthella lenta,Eggerthella lenta,Eggerthella lenta (S2) DSM No.: 2243,Eggerthella,Coriobacteriaceae,Actinobacteria,,,,,0.8,0.8,,,,,,,0.35,0.8,,0.8
NT5025,Fusobacterium nucleatum,Fusobacterium nucleatum,Fusobacterium nucleatum subsp. nucleatum (S2) DSM No.: 15643,Fusobacterium,Fusobacteriaceae,Fusobacteria,,,,,0.8,0.8,,,,,,,0.35,0.8,,0.8
NT5026,Clostridium bolteae,Clostridium bolteae,Clostridium bolteae (S1) DSM No.: 15670,Clostridium,Clostridiaceae,Firmicutes,0.6,,,,,0.35,,,,,0.8,0.8,0.6,,,
NT5027,Dorea longicatena,Dorea longicatena,Dorea longicatena (S1) DSM No.: 13814,,,,,0.8,,,0.8,0.8,,,0.8,0.8,,,0.35,0.8,0.35,
NT5027,Dorea longicatena,Dorea longicatena,Dorea longicatena (S1) DSM No.: 13814,Dorea,,,,,,,,,,,,,0.35,0.35,,,,
NT5028,Bifidobacterium longum,Bifidobacterium longum,Bifidobacterium longum subsp. longum (S1) DSM No.: 20219,Bifidobacterium,Bifidobacteriaceae,Actinobacteria,,0.8,,,0.8,0.8,0.8,0.8,0.8,1.0,,,,0.8,0.35,0.8
NT5029,Fusobacterium nucleatum,Fusobacterium nucleatum,Fusobacterium nucleatum subsp. animalis (S2) DSM 19679,,,,,,,,0.8,0.8,,,,,,,0.35,0.8,,0.8
