nt_code,microbe_label,species_label,species_name,species,strain,genus,family,phylum,enzyme_id,enzyme_name,presence_call,evidence_scope,evidence_source,source_database,literature_citation,pmid,doi,genome_accession,strain_match_level,evidence_note,curation_status,matched_taxon_uri,matched_taxon_name,matched_query_name,annotation_match_modes,uniprot_accessions,uniprot_protein_names,ec_numbers,n_matching_proteins,n_reviewed_proteins
NT5002,Bacteroides uniformis,Bacteroides uniformis,Bacteroides uniformis (S2) DSM No.: 6597,Bacteroides uniformis ,VPI 0061,Bacteroides,Bacteroidaceae,Bacteroidetes,ENZ001,beta_glucuronidase,likely_present,species_genome,uniprot_sparql_automated,UniProt,,,,,same_species,"Automated UniProt SPARQL match from taxon Bacteroides uniformis; 4 protein hit(s), 0 reviewed.",needs_curation,http://purl.uniprot.org/taxonomy/820,Bacteroides uniformis,Bacteroides uniformis,exact_ec,A0A078RXP8;A0A078SLT0;A0ABC9N8P8;R9HXL5,Beta-glucuronidase,3.2.1.31,4,0
NT5002,Bacteroides uniformis,Bacteroides uniformis,Bacteroides uniformis (S2) DSM No.: 6597,Bacteroides uniformis ,VPI 0061,Bacteroides,Bacteroidaceae,Bacteroidetes,ENZ002,sulfatase,likely_present,species_genome,uniprot_sparql_automated,UniProt,,,,,same_species,"Automated UniProt SPARQL match from taxon Bacteroides uniformis; 19 protein hit(s), 0 reviewed.",needs_curation,http://purl.uniprot.org/taxonomy/820,Bacteroides uniformis,Bacteroides uniformis,ec_prefix,A0ABC9N5A9;A0ABC9N6L5;A0ABC9N6M3;A0ABC9N6M6;A0ABC9N6M8;A0ABC9N6T8;A0ABC9N8D5;A0ABC9N8D7;A0ABC9N8P6;A0ABC9N8T7;A0ABC9N8V4;A0ABC9N8Y2;A0ABC9N9B3;A0ABC9NBM1;A0ABC9NEI3;A0ABC9NEZ1;A0ABC9NF00;A0ABC9NF93;A0ABC9NG25,,3.1.6.-,19,0
NT5002,Bacteroides uniformis,Bacteroides uniformis,Bacteroides uniformis (S2) DSM No.: 6597,Bacteroides uniformis ,VPI 0061,Bacteroides,Bacteroidaceae,Bacteroidetes,ENZ005,carboxylesterase,likely_present,species_genome,uniprot_sparql_automated,UniProt,,,,,same_species,"Automated UniProt SPARQL match from taxon Bacteroides uniformis; 22 protein hit(s), 0 reviewed.",needs_curation,http://purl.uniprot.org/taxonomy/820,Bacteroides uniformis,Bacteroides uniformis,ec_prefix;name_keyword,A0A078RYZ8;A0A078S1U4;A0A078S2G0;A0A078S2S2;A0A078S7D1;A0A078SKY2;A0ABC9N5Q9;A0ABC9N928;A0ABC9NBK2;A0ABC9NCZ8;A0ABC9NEV4;A0ABC9NFB5;R9HVI6;R9HW27;R9HWM0;R9I0C8;R9I0F7;R9I2F7;R9I5I3,1-phosphatidylinositol phosphodiesterase;6-phosphogluconolactonase;Carboxylic ester hydrolase;D-aminoacyl-tRNA deacylase;Peptidyl-tRNA hydrolase;Phosphoesterase,3.1.1.-;3.1.1.29;3.1.1.31;3.1.1.96;3.1.4.-;4.6.1.13,22,0
NT5002,Bacteroides uniformis,Bacteroides uniformis,Bacteroides uniformis (S2) DSM No.: 6597,Bacteroides uniformis ,VPI 0061,Bacteroides,Bacteroidaceae,Bacteroidetes,ENZ006,amidase,likely_present,species_genome,uniprot_sparql_automated,UniProt,,,,,same_species,"Automated UniProt SPARQL match from taxon Bacteroides uniformis; 37 protein hit(s), 0 reviewed.",needs_curation,http://purl.uniprot.org/taxonomy/820,Bacteroides uniformis,Bacteroides uniformis,ec_prefix,A0A078RWS0;A0A078RYP0;A0A078RYR3;A0A078RZP1;A0A078S199;A0A078S1B2;A0A078S2W3;A0A078S334;A0A078S5J6;A0A078S699;A0A078SJR1;A0ABC9N4V1;A0ABC9N558;A0ABC9N582;A0ABC9N7U0;A0ABC9N846;A0ABC9NA75;A0ABC9NAJ1;A0ABC9NB90;A0ABC9NCR6;A0ABC9NCW7;A0ABC9NDM8;A0ABC9NDP5;A0ABC9NG95;R9HPI2;R9HPL6;R9HRP5;R9HUF2;R9HUX3;R9HVA6;R9HWH5;R9HX02;R9HX46;R9I1E5;R9I1N6;R9I3J0;R9I8D0,Formyltetrahydrofolate deformylase;Glutaminase;Imidazole glycerol phosphate synthase subunit HisH;Multifunctional fusion protein;N-acetylmuramoyl-L-alanine amidase;Omega-amidase YafV;Peptide deformylase;Peptide-N(4)-(N-acetyl-beta-glucosaminyl)asparagine amidase;UDP-3-O-acyl-N-acetylglucosamine deacetylase;asparaginase,3.5.1.-;3.5.1.1;3.5.1.10;3.5.1.108;3.5.1.2;3.5.1.28;3.5.1.3;3.5.1.52;3.5.1.88,37,0
NT5002,Bacteroides uniformis,Bacteroides uniformis,Bacteroides uniformis (S2) DSM No.: 6597,Bacteroides uniformis ,VPI 0061,Bacteroides,Bacteroidaceae,Bacteroidetes,ENZ007,beta_glucosidase,likely_present,species_genome,uniprot_sparql_automated,UniProt,,,,,same_species,"Automated UniProt SPARQL match from taxon Bacteroides uniformis; 28 protein hit(s), 0 reviewed.",needs_curation,http://purl.uniprot.org/taxonomy/820,Bacteroides uniformis,Bacteroides uniformis,exact_ec,A0A078RVB5;A0A078RY18;A0A078RYZ6;A0A078S1B7;A0A078S2J9;A0A078S2N1;A0A078S2U1;A0A078S3E3;A0A078S4C6;A0A078S520;A0A078S523;A0ABC9N5I4;A0ABC9N692;A0ABC9N6A5;A0ABC9N6P8;A0ABC9N6U7;A0ABC9N6V8;A0ABC9N7A5;A0ABC9N8Q5;A0ABC9NEJ2;R9HUY6;R9HXF7;R9I0N9;R9I3A3;R9I3T6;R9I402;R9I4D0;R9I8L3,Periplasmic beta-glucosidase;beta-glucosidase,3.2.1.21,28,0
NT5002,Bacteroides uniformis,Bacteroides uniformis,Bacteroides uniformis (S2) DSM No.: 6597,Bacteroides uniformis ,VPI 0061,Bacteroides,Bacteroidaceae,Bacteroidetes,ENZ008,alpha_rhamnosidase,likely_present,species_genome,uniprot_sparql_automated,UniProt,,,,,same_species,"Automated UniProt SPARQL match from taxon Bacteroides uniformis; 8 protein hit(s), 0 reviewed.",needs_curation,http://purl.uniprot.org/taxonomy/820,Bacteroides uniformis,Bacteroides uniformis,exact_ec,A0A078S3U8;A0A078SSP7;A0ABC9NFD5;A0ABC9NHH1;R9I2H1;R9I403;R9I471;R9I4V1,alpha-L-rhamnosidase,3.2.1.40,8,0
NT5002,Bacteroides uniformis,Bacteroides uniformis,Bacteroides uniformis (S2) DSM No.: 6597,Bacteroides uniformis ,VPI 0061,Bacteroides,Bacteroidaceae,Bacteroidetes,ENZ009,beta_galactosidase,likely_present,species_genome,uniprot_sparql_automated,UniProt,,,,,same_species,"Automated UniProt SPARQL match from taxon Bacteroides uniformis; 31 protein hit(s), 0 reviewed.",needs_curation,http://purl.uniprot.org/taxonomy/820,Bacteroides uniformis,Bacteroides uniformis,exact_ec,A0A078RZB1;A0A078RZI7;A0A078S0G3;A0A078S2I0;A0A078S2K0;A0A078S350;A0A078S3K3;A0A078S5F9;A0A078S5H0;A0A078S656;A0A078S6E6;A0A078SI95;A0A078SSY9;A0ABC9N628;A0ABC9N6B2;A0ABC9N6G6;A0ABC9N6J7;A0ABC9N6Q0;A0ABC9N989;A0ABC9N9L5;A0ABC9NA58;A0ABC9NHE4;R9HSS4;R9HXJ0;R9I3G8;R9I3L6;R9I3L9;R9I3P5;R9I3U9;R9I4K9;R9I5C4,Beta-galactosidase;beta-galactosidase,3.2.1.23,31,0
NT5002,Bacteroides uniformis,Bacteroides uniformis,Bacteroides uniformis (S2) DSM No.: 6597,Bacteroides uniformis ,VPI 0061,Bacteroides,Bacteroidaceae,Bacteroidetes,ENZ013,deacetylase,weak_prior,species_genome,uniprot_sparql_automated,UniProt,,,,,same_species,"Automated UniProt SPARQL match from taxon Bacteroides uniformis; 1 protein hit(s), 0 reviewed.",needs_curation,http://purl.uniprot.org/taxonomy/820,Bacteroides uniformis,Bacteroides uniformis,name_keyword,A0A078SJR1,UDP-3-O-acyl-N-acetylglucosamine deacetylase,3.5.1.108,1,0
NT5002,Bacteroides uniformis,Bacteroides uniformis,Bacteroides uniformis (S2) DSM No.: 6597,Bacteroides uniformis ,VPI 0061,Bacteroides,Bacteroidaceae,Bacteroidetes,ENZ014,phosphatase,likely_present,species_genome,uniprot_sparql_automated,UniProt,,,,,same_species,"Automated UniProt SPARQL match from taxon Bacteroides uniformis; 64 protein hit(s), 0 reviewed.",needs_curation,http://purl.uniprot.org/taxonomy/820,Bacteroides uniformis,Bacteroides uniformis,ec_prefix;name_keyword,A0A078RU65;A0A078RUM7;A0A078RV55;A0A078RV65;A0A078RVB9;A0A078RWW1;A0A078RX71;A0A078RXL4;A0A078RXZ5;A0A078RYL5;A0A078RZ83;A0A078S002;A0A078S0J1;A0A078S1D1;A0A078S2Z7;A0A078S3U5;A0A078S498;A0A078S569;A0A078S5M2;A0A078SA95;A0A078SPT0;A0ABC9N4W2;A0ABC9N5U5;A0ABC9N6M5;A0ABC9N6X7;A0ABC9N7C7;A0ABC9N7Z9;A0ABC9N867;A0ABC9N9W9;A0ABC9NBS4;A0ABC9NBS5;A0ABC9NBT3;A0ABC9NDQ5;A0ABC9NDV0;A0ABC9NE38;A0ABC9NEG8;A0ABC9NEI1;A0ABC9NF63;A0ABC9NFQ2;A0ABC9NG54;A0ABC9NGM5;A0ABC9NGP5;R9HN80;R9HP64;R9HR95;R9HSV7;R9HSX0;R9HUE0;R9HUU3;R9HVH6;R9HVJ0;R9HW52;R9HXG8;R9HZB6;R9I0H8;R9I1E2;R9I1H8;R9I2N1;R9I2N8;R9I2X1;R9I3Q3;R9I4Q1,"3'(2'),5'-bisphosphate nucleotidase CysQ;5'-nucleotidase SurE;Alpha-ribazole phosphatase;D,D-heptose 1,7-bisphosphate phosphatase;Fructose-1,6-bisphosphatase class 3;Histidine biosynthesis bifunctional protein HisB;Histidinol-phosphatase;Inositol-1-monophosphatase;Multiple inositol polyphosphate phosphatase 1;NAD(+) diphosphatase;Phosphoserine phosphatase;Undecaprenyl-diphosphatase;acid phosphatase;dITP/XTP pyrophosphatase;dTTP/UTP pyrophosphatase;phosphoglycolate phosphatase;protein-tyrosine-phosphatase",3.1.3.-;3.1.3.11;3.1.3.12;3.1.3.15;3.1.3.18;3.1.3.2;3.1.3.25;3.1.3.27;3.1.3.3;3.1.3.45;3.1.3.48;3.1.3.5;3.1.3.62;3.1.3.7;3.1.3.73;3.1.3.80;3.6.1.22;3.6.1.27;3.6.1.66;3.6.1.9,64,0
NT5002,Bacteroides uniformis,Bacteroides uniformis,Bacteroides uniformis (S2) DSM No.: 6597,Bacteroides uniformis ,VPI 0061,Bacteroides,Bacteroidaceae,Bacteroidetes,ENZ015,mucin_glycosidase,weak_prior,species_genome,uniprot_sparql_automated,UniProt,,,,,same_species,"Automated UniProt SPARQL match from taxon Bacteroides uniformis; 71 protein hit(s), 0 reviewed.",needs_curation,http://purl.uniprot.org/taxonomy/820,Bacteroides uniformis,Bacteroides uniformis,name_keyword,A0A078RUT0;A0A078RUY4;A0A078RXU0;A0A078RY48;A0A078RZB1;A0A078RZI7;A0A078S0G3;A0A078S1H8;A0A078S1T0;A0A078S2C4;A0A078S2I0;A0A078S2K0;A0A078S350;A0A078S3K3;A0A078S496;A0A078S5F9;A0A078S5H0;A0A078S5U9;A0A078S656;A0A078S6D7;A0A078S6E6;A0A078S6N6;A0A078S723;A0A078SI95;A0A078SPC9;A0A078SSY9;A0ABC9N628;A0ABC9N678;A0ABC9N6B2;A0ABC9N6G6;A0ABC9N6J7;A0ABC9N6Q0;A0ABC9N7F5;A0ABC9N7Q0;A0ABC9N989;A0ABC9N992;A0ABC9N9L5;A0ABC9NA58;A0ABC9NAJ8;A0ABC9NC92;A0ABC9NCW1;A0ABC9NE68;A0ABC9NEH0;A0ABC9NFG8;A0ABC9NGW9;A0ABC9NH03;A0ABC9NHE4;R9HRA2;R9HSS4;R9HU18;R9HU67;R9HXJ0;R9HXQ4;R9HYU7;R9I0K2;R9I1D0;R9I1D3;R9I1J1;R9I3G8;R9I3L6;R9I3L9;R9I3N2;R9I3P5;R9I3U9;R9I416;R9I4K9;R9I4R0;R9I5C4;R9I5J1;R9I8Q1;R9I9P8,Alpha-galactosidase;Beta-galactosidase;alpha-L-fucosidase;beta-N-acetylhexosaminidase;beta-galactosidase;exo-alpha-sialidase,3.2.1.18;3.2.1.22;3.2.1.23;3.2.1.51;3.2.1.52,71,0
