sample_id	Faecalibacterium_prausnitzii	Roseburia_intestinalis	Eubacterium_rectale	Bilophila_wadsworthia	Escherichia_coli	Bacteroides_vulgatus
S01	0.035	0.020	0.015	0.030	0.050	0.090
S02	0.030	0.018	0.012	0.028	0.045	0.085
S03	0.028	0.017	0.011	0.032	0.048	0.082
S04	0.038	0.021	0.016	0.027	0.042	0.088
S05	0.033	0.019	0.014	0.029	0.046	0.087
S06	0.029	0.016	0.011	0.031	0.049	0.084
S07	0.085	0.060	0.045	0.012	0.020	0.070
S08	0.090	0.064	0.048	0.010	0.018	0.068
S09	0.082	0.058	0.043	0.013	0.022	0.072
S10	0.088	0.062	0.046	0.011	0.019	0.069
S11	0.084	0.059	0.044	0.012	0.021	0.071
S12	0.089	0.063	0.047	0.010	0.018	0.067
