,DrugName,DrugSmiles,EC,ReactionCenter,ProductSmiles,ProductInChiKey
0,Levodopa,N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,2.4.1.191,8,NC(Cc1ccc(OC2OC(C(=O)O)C(O)C(O)C2O)c(O)c1)C(=O)O,KRTVREDHTYQDQE-UHFFFAOYSA-N
1,Levodopa,N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,3.2.1.31,8,NC(Cc1ccc(OC2OC(C(=O)O)C(O)C(O)C2O)c(O)c1)C(=O)O,KRTVREDHTYQDQE-UHFFFAOYSA-N
2,Levodopa,N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,2.4.1.191,10,NC(Cc1ccc(O)c(OC2OC(C(=O)O)C(O)C(O)C2O)c1)C(=O)O,MXPSJMGHCJXASV-UHFFFAOYSA-N
3,Levodopa,N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,3.2.1.31,10,NC(Cc1ccc(O)c(OC2OC(C(=O)O)C(O)C(O)C2O)c1)C(=O)O,MXPSJMGHCJXASV-UHFFFAOYSA-N
4,Levodopa,N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,3.2.1.21,8,NC(Cc1ccc(OC2OC(CO)C(O)C(O)C2O)c(O)c1)C(=O)O,FJAKCGVQVUUSPR-UHFFFAOYSA-N
5,Levodopa,N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,3.2.1.21,10,NC(Cc1ccc(O)c(OC2OC(CO)C(O)C(O)C2O)c1)C(=O)O,NIMVDZOWEYJNTR-UHFFFAOYSA-N
6,Levodopa,N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,2.4.1.172,8,NC(Cc1ccc(OC2OC(CO)C(O)C(O)C2O)c(O)c1)C(=O)O,FJAKCGVQVUUSPR-UHFFFAOYSA-N
7,Levodopa,N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,2.4.1.172,10,NC(Cc1ccc(O)c(OC2OC(CO)C(O)C(O)C2O)c1)C(=O)O,NIMVDZOWEYJNTR-UHFFFAOYSA-N
8,Levodopa,N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,4.1.1.25,2,NCCc1ccc(O)c(O)c1,VYFYYTLLBUKUHU-UHFFFAOYSA-N
9,Levodopa,N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,4.1.1.28,2,NCCc1ccc(O)c(O)c1,VYFYYTLLBUKUHU-UHFFFAOYSA-N
