nt_code,microbe_label,species_label,species_name,species,strain,genus,family,phylum,matched_taxon_uri,matched_taxon_name,matched_query_name,strain_match_level,uniprot_accession,uniprot_protein_uri,uniprot_organism_name,uniprot_protein_name,ec_number,reviewed,enzyme_id,enzyme_name,annotation_match_mode
NT5002,Bacteroides uniformis,Bacteroides uniformis,Bacteroides uniformis (S2) DSM No.: 6597,Bacteroides uniformis ,VPI 0061,Bacteroides,Bacteroidaceae,Bacteroidetes,http://purl.uniprot.org/taxonomy/820,Bacteroides uniformis,Bacteroides uniformis,same_species,A0A078RU65,http://purl.uniprot.org/uniprot/A0A078RU65,Bacteroides uniformis str. 3978 T3 ii,acid phosphatase,3.1.3.2,False,ENZ014,phosphatase,ec_prefix
NT5002,Bacteroides uniformis,Bacteroides uniformis,Bacteroides uniformis (S2) DSM No.: 6597,Bacteroides uniformis ,VPI 0061,Bacteroides,Bacteroidaceae,Bacteroidetes,http://purl.uniprot.org/taxonomy/820,Bacteroides uniformis,Bacteroides uniformis,same_species,A0A078RUM7,http://purl.uniprot.org/uniprot/A0A078RUM7,Bacteroides uniformis str. 3978 T3 ii,Inositol-1-monophosphatase,3.1.3.25,False,ENZ014,phosphatase,ec_prefix
NT5002,Bacteroides uniformis,Bacteroides uniformis,Bacteroides uniformis (S2) DSM No.: 6597,Bacteroides uniformis ,VPI 0061,Bacteroides,Bacteroidaceae,Bacteroidetes,http://purl.uniprot.org/taxonomy/820,Bacteroides uniformis,Bacteroides uniformis,same_species,A0A078RUT0,http://purl.uniprot.org/uniprot/A0A078RUT0,Bacteroides uniformis str. 3978 T3 ii,beta-N-acetylhexosaminidase,3.2.1.52,False,ENZ015,mucin_glycosidase,name_keyword
NT5002,Bacteroides uniformis,Bacteroides uniformis,Bacteroides uniformis (S2) DSM No.: 6597,Bacteroides uniformis ,VPI 0061,Bacteroides,Bacteroidaceae,Bacteroidetes,http://purl.uniprot.org/taxonomy/820,Bacteroides uniformis,Bacteroides uniformis,same_species,A0A078RUY4,http://purl.uniprot.org/uniprot/A0A078RUY4,Bacteroides uniformis str. 3978 T3 ii,exo-alpha-sialidase,3.2.1.18,False,ENZ015,mucin_glycosidase,name_keyword
NT5002,Bacteroides uniformis,Bacteroides uniformis,Bacteroides uniformis (S2) DSM No.: 6597,Bacteroides uniformis ,VPI 0061,Bacteroides,Bacteroidaceae,Bacteroidetes,http://purl.uniprot.org/taxonomy/820,Bacteroides uniformis,Bacteroides uniformis,same_species,A0A078RV55,http://purl.uniprot.org/uniprot/A0A078RV55,Bacteroides uniformis str. 3978 T3 ii,dITP/XTP pyrophosphatase,3.6.1.66,False,ENZ014,phosphatase,name_keyword
NT5002,Bacteroides uniformis,Bacteroides uniformis,Bacteroides uniformis (S2) DSM No.: 6597,Bacteroides uniformis ,VPI 0061,Bacteroides,Bacteroidaceae,Bacteroidetes,http://purl.uniprot.org/taxonomy/820,Bacteroides uniformis,Bacteroides uniformis,same_species,A0A078RV65,http://purl.uniprot.org/uniprot/A0A078RV65,Bacteroides uniformis str. 3978 T3 ii,Undecaprenyl-diphosphatase,3.6.1.27,False,ENZ014,phosphatase,name_keyword
NT5002,Bacteroides uniformis,Bacteroides uniformis,Bacteroides uniformis (S2) DSM No.: 6597,Bacteroides uniformis ,VPI 0061,Bacteroides,Bacteroidaceae,Bacteroidetes,http://purl.uniprot.org/taxonomy/820,Bacteroides uniformis,Bacteroides uniformis,same_species,A0A078RVB5,http://purl.uniprot.org/uniprot/A0A078RVB5,Bacteroides uniformis str. 3978 T3 ii,beta-glucosidase,3.2.1.21,False,ENZ007,beta_glucosidase,exact_ec
NT5002,Bacteroides uniformis,Bacteroides uniformis,Bacteroides uniformis (S2) DSM No.: 6597,Bacteroides uniformis ,VPI 0061,Bacteroides,Bacteroidaceae,Bacteroidetes,http://purl.uniprot.org/taxonomy/820,Bacteroides uniformis,Bacteroides uniformis,same_species,A0A078RVB9,http://purl.uniprot.org/uniprot/A0A078RVB9,Bacteroides uniformis str. 3978 T3 ii,Phosphoserine phosphatase,3.1.3.3,False,ENZ014,phosphatase,ec_prefix
NT5002,Bacteroides uniformis,Bacteroides uniformis,Bacteroides uniformis (S2) DSM No.: 6597,Bacteroides uniformis ,VPI 0061,Bacteroides,Bacteroidaceae,Bacteroidetes,http://purl.uniprot.org/taxonomy/820,Bacteroides uniformis,Bacteroides uniformis,same_species,A0A078RWF0,http://purl.uniprot.org/uniprot/A0A078RWF0,Bacteroides uniformis str. 3978 T3 ii,,4.2.2.7,False,ENZ016,polysaccharide_lyase,ec_prefix
NT5002,Bacteroides uniformis,Bacteroides uniformis,Bacteroides uniformis (S2) DSM No.: 6597,Bacteroides uniformis ,VPI 0061,Bacteroides,Bacteroidaceae,Bacteroidetes,http://purl.uniprot.org/taxonomy/820,Bacteroides uniformis,Bacteroides uniformis,same_species,A0A078RWS0,http://purl.uniprot.org/uniprot/A0A078RWS0,Bacteroides uniformis str. 3978 T3 ii,asparaginase,3.5.1.1,False,ENZ006,amidase,ec_prefix
